,코인 명,공시 명,날짜,마켓,전일 종가,최저가,최고가,BTC 상승률,상승률
176,TSHP, 12Ships 재단은 10 월 TSHP 바이백 및 소각을 완료하였습니다.,2020.12.02,KRW,3.42,3.4,3.94,-2.1%,15.2%
177,MED," 메디블록, 시리즈 A 라운드 투자 유치 완료",2020.12.02,KRW,5.75,5.68,7.3,-2.1%,26.96%
178,TON," 토카막 네트워크, DSRV 스테이킹 오퍼레이터 참여 공시",2020.12.01,KRW,2700.0,2635.0,2745.0,6.62%,1.67%
179,MED," 메디블록, 2020 보건의료 기술사업화 유공자 포상 수상",2020.12.01,KRW,5.58,5.54,6.12,6.62%,9.68%
180,ARDR," Jelurida, 캐쥬얼 게임 사업 진출을 위한 첫번째 프로젝트 Bridge Champ 발표",2020.11.30,KRW,75.2,71.8,77.6,2.6%,3.19%
181,ARDR, 기업의 퍼블릭 블록체인 활용 사례로 Geoblockchain 유치 관련 공시,2020.11.30,KRW,75.2,71.8,77.6,2.6%,3.19%
182,STPT," STP 네트워크, 스테이블 코인 USTP 및 STP DAO 출시",2020.11.30,KRW,16.7,16.3,17.1,2.6%,2.4%
183,SSX, 썸씽(SSX)의 현재 유통량 및 향후 계획 공시,2020.11.30,조회 불가,조회 불가,조회 불가,조회 불가,0.0260213509,조회 불가
184,SSX, 썸씽 팀원&어드바이저 락업일정 변경 공시,2020.11.30,조회 불가,조회 불가,조회 불가,조회 불가,0.0260213509,조회 불가
185,ORBS," 오브스(Orbs), POS V2.5 업그레이드 완료 공시",2020.11.30,KRW,15.2,14.7,15.4,2.6%,1.32%
186,PLA," 플레이댑, 게임 개발사들을 위한 C2C 마켓플레이스 ’스토어프론트’ 베타버전 출시",2020.11.26,KRW,187.0,183.0,203.0,-0.56%,8.56%
187,GOM2," 애니멀고, STP Network 재단과 파트너쉽 업무협약",2020.11.26,BTC,9.4e-07,9e-07,1.2e-06,-0.56%,27.66%
188,MLK," 밀크, 한국페이즈 서비스와 도서문화상품권 계약 체결 공시",2020.11.26,KRW,179.0,174.0,200.0,-0.56%,11.73%
189,PLA, 플레이댑 프로젝트 HTML5 기반 신작 ‘와일드 웨스트(Wild West)’ 페이스북 진출,2020.11.24,KRW,176.0,176.0,208.0,-1.02%,18.18%
190,TON, 토카막 네트워크 DTT 얼라이언스 가입,2020.11.24,KRW,2655.0,2595.0,2785.0,-1.02%,4.9%
191,GOM2," 애니멀고, 중화권 부동산 투자업체 JW Capital과 업무협약",2020.11.23,BTC,8.7e-07,7.4e-07,9.3e-07,-0.22%,6.9%
192,PCI," 페이코인, 장내 매수 진행 공시",2020.11.23,KRW,169.0,162.0,179.0,-0.22%,5.92%
193,TON," 토카막 네트워크, 미터와 파트너십 체결",2020.11.19,KRW,2765.0,2450.0,2765.0,1.98%,0.0%
194,SOLVE, DCARE 채굴이 시작되었습니다.,2020.11.18,KRW,102.0,100.0,103.0,5.78%,0.98%
195,ADX, AdEx 네트워크는 커뮤니티 거버넌스를 갖춘 최초의 분산형 광고 네트워크가 되었습니다,2020.11.11,KRW,296.0,287.0,313.0,-0.42%,5.74%
196,GOM2, 고머니2(GOM2) 토큰 소각 (6차),2020.11.06,BTC,1.19e-06,9.7e-07,1.21e-06,8.73%,1.68%
197,PCI, 페이코인(PCI) 디지털 자산 유통량 공시 (2020년 10월),2020.11.06,KRW,210.0,197.0,216.0,8.73%,2.86%
198,HUNT, 네버루즈머니 클로즈드 베타 출시,2020.11.05,KRW,47.9,46.3,48.3,0.49%,0.84%
199,PLA," 플레이댑, 블록체인 기술 도입 예정인 PC MMO ‘아스타 리마스터(가칭)’ 글로벌 판권 확보",2020.11.05,KRW,171.0,163.0,174.0,0.49%,1.75%
200,MLK, 밀크코인소각완료공시(공모소각+재단매칭소각),2020.11.05,KRW,167.0,163.0,174.0,0.49%,4.19%
201,PXL, 향후 토큰 유통 계획,2020.11.03,KRW,11.6,10.7,11.6,-1.14%,0.0%
202,AERGO," 블록체인 기반 시점확인(TSA) 및 데이터 검증 연합체, ‘DTT 얼라이언스’ 출범",2020.11.04,KRW,47.8,46.3,48.8,3.14%,2.09%
203,MVL," MVL TADA 싱가포르, 승차호출 서비스 라이선스(RSOL) 취득",2020.11.02,KRW,1.24,1.19,1.26,-0.21%,1.61%
204,PCI," 페이코인, 유니온페이 모바일 선불카드 제휴 체결로 글로벌 결제 시장 진출",2020.11.02,KRW,289.0,277.0,299.0,-0.21%,3.46%
205,CHZ," 칠리즈, 노바라 칼초(Novara Calcio) 구단과 파트너십 발표",2020.10.30,KRW,11.1,10.7,11.3,0.98%,1.8%
206,SOLVE, Solve.Care에서 의료금융을 위한 세계 최초의 탈중앙화 자율조직(DAO)인 Definitize의 출범 발표,2020.10.29,KRW,110.0,103.0,113.0,-1.65%,2.73%
207,TSHP, 12Ships 재단은 9월 TSHP 바이백 및 소각을 완료하였습니다.,2020.10.29,KRW,3.74,3.51,3.74,-1.65%,0.0%
208,META," 메타디움 블록체인(DID) 기반 디지털 공공 통합서비스 앱 ‘B Pass’, ‘시민안전제보’ 스마트폰 앱 출시",2020.10.29,조회 불가,조회 불가,조회 불가,조회 불가,-0.0164576803,조회 불가
209,MLK, 밀크소각공시및멤버십토큰(MAP)발행발표,2020.10.29,KRW,165.0,160.0,167.0,-1.65%,1.21%
210,GOM2," 애니멀고 마켓, 카카오스토어 입점",2020.10.29,BTC,1.35e-06,1.14e-06,1.68e-06,-1.65%,24.44%
211,AERGO," 블로코, 블록체인 플랫폼 ‘아르고 엔터프라이즈 v2.0’, GS 인증 획득",2020.10.28,KRW,50.3,48.1,52.2,3.71%,3.78%
212,OGN, 오리진프로토콜(OriginProtocol)업홀드(Uphold)와파트너십성사,2020.10.28,BTC,1.276e-05,1.104e-05,1.211e-05,3.71%,-5.09%
213,OBSR," 옵저버, ""대한민국 기상산업대상"" 기상청장상 수상",2020.10.28,조회 불가,조회 불가,조회 불가,조회 불가,0.0371173124,조회 불가
214,ONIT," 온버프, ‘뽀로로’ 캐릭터 회사 아이코닉스와 파트너십 체결 등 5개 사안 공시",2020.10.27,BTC,1.211e-05,1.115e-05,1.249e-05,0.5%,3.14%
215,OGN, 오리진프로토콜(OriginProtocol) OUSD 거버넌스토큰으로 OGN 채택발표,2020.10.27,BTC,1.269e-05,1.276e-05,1.276e-05,0.5%,0.55%
216,PCI," 페이코인, 탈중앙화 오라클 솔루션 제공업체 체인링크(Chainlink)와 업무협약(MOU) 체결",2020.10.27,조회 불가,조회 불가,조회 불가,조회 불가,0.0050374404,조회 불가
217,GOM2," 고머니2(GOM2) 보유자, 머니스왑토큰(MSWAP) 에어드랍 이벤트",2020.10.26,BTC,1.88e-06,1.8e-06,1.91e-06,-0.47%,1.6%
218,STMX," StormX 신규 $1,000 친구 초대 보너스 출시",2020.10.23,KRW,2.32,2.28,2.48,0.94%,6.9%
219,IQ," 블록체인 백과사전 에브리피디아, 미국 최대 통신사 AP 통신과 파트너십",2020.10.23,KRW,2.53,2.52,2.57,0.94%,1.58%
220,GOM2, 고머니2(GOM2) 토큰 바이백 (6차),2020.10.22,BTC,2.35e-06,2.24e-06,2.38e-06,5.69%,1.28%
221,MLK, 밀크사전투자자락업일정변경공시,2020.10.22,KRW,164.0,164.0,170.0,5.69%,3.66%
222,AHT, 아하토큰 일부 물량 소각 안내,2020.10.22,KRW,4.1,3.81,4.11,5.69%,0.24%
223,ORBS," 오브스(Orbs), 재단물량 100%(20억개) 락업 실행완료",2020.10.20,KRW,15.3,15.0,16.2,1.57%,5.88%
224,SOLVE," 솔브케어, 파트너쉽 관련 공시",2020.10.20,KRW,131.0,119.0,144.0,1.57%,9.92%
225,MBL, WMBL 머니스왑 Pool 추가 및 10~11월 온라인 영화제 라인업 공시의 건,2020.10.19,KRW,1.81,1.76,1.82,0.99%,0.55%
226,HBAR, 온체인커스터디안HBAR커스터디지원,2020.10.19,KRW,36.1,35.8,36.4,0.99%,0.83%
227,CHZ," 칠리즈, 신트트라위던(STVV) 구단과 파트너십 발표",2020.10.16,KRW,12.6,12.1,12.6,0.58%,0.0%
228,PCI," 페이코인, 글로벌 앱 서비스 출시",2020.10.16,조회 불가,조회 불가,조회 불가,조회 불가,0.0057794677,조회 불가
229,UPP," 웁살라시큐리티, 디지털 자산 포렌식 솔루션에 Ripple (XRP), Bitcoin Cash (BCH) 추적 기능 추가",2020.10.15,KRW,22.7,21.6,22.7,0.12%,0.0%
230,GOM2, 머니스왑 런칭 및 머니스왑(MSWAP)토큰 에어드랍,2020.10.14,BTC,2.17e-06,2.07e-06,2.26e-06,-0.29%,4.15%
231,ORBS," 오브스(Orbs), OEGP지원 DeFi 프로젝트 선정",2020.10.14,KRW,15.4,15.0,15.6,-0.29%,1.3%
232,ONIT," 온버프, 10월 15일 베스팅 물량에 대한 전량 락업",2020.10.14,BTC,1.216e-05,1.144e-05,1.409e-05,-0.29%,15.87%
233,PLA," 플레이댑, 블록체인 게임사 더 샌드박스와 파트너십 체결",2020.10.14,KRW,236.0,227.0,248.0,-0.29%,5.08%
234,HBAR, 마일스톤 달성 : 해시그래프 플랫폼 소스코드 오픈 리뷰 출시,2020.10.12,KRW,38.9,38.2,40.4,0.54%,3.86%
235,AHT, 어드바이저 물량 락업해제 및 일부 회수 안내,2020.10.12,KRW,5.21,4.94,5.28,0.54%,1.34%
236,CTSI, 카르테시 3분기 주요 마일스톤 달성,2020.10.11,BTC,3.68e-06,3.12e-06,3.64e-06,1.79%,-1.09%
237,PLA," 플레이댑, 블록체인 게임 ‘크립토도저’ 라인 블록체인 생태계 참여",2020.10.08,KRW,209.0,185.0,214.0,0.04%,2.39%
238,CHZ," 칠리즈, BSC 영보이즈 구단과 파트너쉽 발표",2020.10.08,KRW,11.9,11.3,12.4,0.04%,4.2%
239,MED," 메디블록, 과기정통부 주관 '클라우드 플래그쉽 프로젝트' 기업 선정",2020.10.08,KRW,5.35,5.31,5.9,0.04%,10.28%
240,ITAM, 아이텀게임즈 'NFT.farm' 스테이킹 기능 업데이트,2020.10.07,BTC,9.3e-07,8.7e-07,1.05e-06,-0.94%,12.9%
241,TT, 썬더코어 에코 시스템 계획 로드맵 업데이트 안내,2020.10.07,KRW,5.18,5.04,5.21,-0.94%,0.58%
242,GOM2, 애니멀고 X 고머니2 백서 3.0 및 추가 로드맵 공개,2020.10.06,BTC,2.3e-06,2.14e-06,2.31e-06,0.72%,0.43%
243,RINGX," RINGX 재단, 기프트레터 이용 계약 체결",2020.10.06,BTC,5.7e-06,5.69e-06,6.17e-06,0.72%,8.25%
244,UPP," 웁살라시큐리티, 삼성 블록체인 월렛 보안 강화 차별화 위해 가상자산 AML 솔루션 연동",2020.10.06,KRW,29.1,28.2,39.2,0.72%,34.71%
245,WAXP," 왁스, 디파이와 NFT 결합된 신규 토큰 이코노미 모델 공개",2020.10.05,KRW,44.4,43.2,44.6,0.44%,0.45%
246,HUNT, 2020-3분기 수수료 수입 소각 안내,2020.10.05,KRW,57.8,55.4,59.6,0.44%,3.11%
247,ADX," 애드엑스 네트워크가 체인링크와 ADX-USD 가격 피드를 메인넷에 통합하고, 탄력적 토큰 발행을 시작합니다.",2020.10.01,KRW,223.0,222.0,245.0,-0.34%,9.87%
248,ADX," AdEx네트워크, 새로운 ADX 토큰 이코노믹스 및 인센티브가 적용된 스테이킹",2020.10.01,KRW,223.0,222.0,245.0,-0.34%,9.87%
249,THETA," 쎄타 네트워크, 라인블록체인과 함께 아시아 시장을 타겟할 비디오 서비스 런칭 발표",2020.09.30,KRW,835.0,823.0,907.0,1.07%,8.62%
250,PLA," 플레이댑 플라(PLA), 메인넷 확장 - 메타블록체인 위해 'DSRV LABS(Nonce)'와 기술협약 체결",2020.09.29,조회 불가,조회 불가,조회 불가,조회 불가,-0.0037554934,조회 불가
251,GOM2," 글로벌 자동차제조사 랜드로버, 재규어 공식 수입사 (주)천일오토모빌과 애니멀고 업무협약",2020.09.28,BTC,2.37e-06,2.3e-06,2.41e-06,0.07%,1.69%
252,MOC," 모스랜드, 2020 3Q 모스코인 바이백 결과 안내",2020.09.28,KRW,19.4,18.6,19.4,0.07%,0.0%
253,ONIT," 온버프는 상장 후 두번째로 언락될 예정인 온버프 토큰(ONIT) 17,392,000개를 전량 소각하였습니다.",2020.09.25,BTC,1.416e-05,1.202e-05,1.706e-05,4.66%,20.48%
254,OGN, 오리진 프로토콜(Origin Protocol) 자체 스테이블 코인 OUSD 출시,2020.09.25,BTC,1.924e-05,1.928e-05,1.97e-05,4.66%,2.39%
255,GOM2, 코스닥 상장사 엔시트론과 전략적 파트너쉽 체결,2020.09.23,BTC,2.46e-06,2.34e-06,2.48e-06,0.44%,0.81%
256,ONIT," 온버프, ‘뿌까’ 캐릭터 회사 VOOZ와 파트너십 체결",2020.09.23,BTC,1.818e-05,1.61e-05,1.846e-05,0.44%,1.54%
257,CHZ, 칠리즈 코인 소각 안내,2020.09.23,KRW,12.8,12.4,13.6,0.44%,6.25%
258,TT, 썬더코어 DeFi 에코시스템 DEX 'TTSwap' 업그레이드,2020.09.22,KRW,5.76,5.0,5.79,-4.13%,0.52%
259,HBAR, 헤데라 해시그래프에 오스트레일리아 농업 공급망 출시,2020.09.22,KRW,39.3,35.2,39.8,-4.13%,1.27%
260,ITAM, 아이텀게임즈 '아트그라비아'와 신규 서비스를 위한 디지털 콘텐츠 유통 계약 공시,2020.09.22,BTC,1.1e-06,9.4e-07,1.17e-06,-4.13%,6.36%
261,MARO," MARO, TTC 리브랜딩 및 주요 서비스 공시",2020.09.22,KRW,27.0,24.7,28.1,-4.13%,4.07%
262,QKC," 쿼크체인, AMM DEX '이퀄라이저(Equalizer)' 출시",2020.09.22,KRW,6.62,5.66,6.8,-4.13%,2.72%
263,MBL," 무비블록, 디파이 생태계 확장을 위한 ERC-20 토큰 WMBL 출시",2020.09.21,KRW,2.26,2.15,2.27,-0.94%,0.44%
264,AHT, 어뷰징 물량 회수 완료 및 일부 소각 안내,2020.09.21,KRW,5.53,5.47,6.17,-0.94%,11.57%
265,OBSR," 옵저버, 중앙일보 미세먼지 및 기상데이터 공급 계약 체결",2020.09.21,조회 불가,조회 불가,조회 불가,조회 불가,-0.0093508501,조회 불가
266,HUNT, 헌트 토큰 소각 완료,2020.09.18,KRW,131.0,102.0,140.0,-0.79%,6.87%
267,ENJ," ENJIN, 디지털 엔터테인먼트 에셋(DEA)과 함께 2020 NFT 시상식 개최",2020.09.17,KRW,189.0,179.0,189.0,0.77%,0.0%
268,ICX," ICON 2.0: 바탕, 새로운 블록체인 소프트웨어",2020.09.17,KRW,606.0,554.0,606.0,0.77%,0.0%
269,MLK," 밀크, Travala.com과 파트너십 체결",2020.09.18,KRW,192.0,188.0,195.0,-0.79%,1.56%
270,PCI," 페이코인, 블록체인 플랫폼 및 서비스 제공업체 아이콘루프(ICONLOOP)와 업무협약 체결",2020.09.18,조회 불가,조회 불가,조회 불가,조회 불가,-0.0078990165,조회 불가
271,PLA, 플레이댑 토큰(PLA) 유통량 및 락업 일정 조정 안내,2020.09.17,조회 불가,조회 불가,조회 불가,조회 불가,0.0077259248,조회 불가
272,BORA," BORA(보라), 카이엔터테인먼트와 테일즈런너 IP 모바일 게임 공동 사업 계약 체결",2020.09.17,KRW,38.0,34.6,38.1,0.77%,0.26%
273,HUNT, 백서 및 로드맵 수정 업데이트 안내,2020.09.17,KRW,135.0,97.3,175.0,0.77%,29.63%
274,ORBS," 오브스(Orbs), 재단물량 20억개 락업 계획 발표",2020.09.16,KRW,18.2,17.8,18.5,1.22%,1.65%
275,GOM2, 고머니2(GOM2) 토큰 소각 (5차),2020.09.16,BTC,2.35e-06,2.2e-06,2.44e-06,1.22%,3.83%
276,ITAM, 아이텀게임즈 NFT 게임 아이템 거래를 위한 거래 플랫폼 ‘NFT.farm’ 신규 결제시스템 연동 공시,2020.09.16,BTC,6.3e-07,5.9e-07,7.6e-07,1.22%,20.63%
277,ITAM, 아이텀게임즈 토큰 일일 분배 물량 주기 변경,2020.09.16,BTC,6.3e-07,5.9e-07,7.6e-07,1.22%,20.63%
278,OBSR, 옵저버 개인기상관측기(Personal Weather Station) “W-Station” 출시 및 관측 보상 공시,2020.09.14,조회 불가,조회 불가,조회 불가,조회 불가,-0.0001615639,조회 불가
279,HUNT, 헌트토큰 소각 및 베스팅 안내,2020.09.11,조회 불가,조회 불가,조회 불가,조회 불가,0.012400427,조회 불가
280,GOM2," 애니멀고, 코스닥 상장사 옵트론텍과 전략적 파트너쉽 체결",2020.09.11,BTC,2.5e-06,2.25e-06,2.57e-06,1.24%,2.8%
281,ITAM," 아이텀게임즈 ‘체인링크(Chainlink)’, 에이브(Aave) 프로토콜과 전략적 업무 협약 체결 및 업무 제휴 공시",2020.09.11,BTC,4.7e-07,4.3e-07,4.8e-07,1.24%,2.13%
282,PLA," 플레이댑, RPG ‘신과함께’ 구글 플레이 스토어에 출시",2020.09.10,조회 불가,조회 불가,조회 불가,조회 불가,0.003791938,조회 불가
283,ICX," 아이콘루프-사람인, 국내 최초로 채용 서비스 전반에 블록체인 기술 적용",2020.09.10,KRW,484.0,474.0,508.0,0.38%,4.96%
284,TON," 토카막 네트워크, 주요 투자자 스테이킹 참여 공시",2020.09.10,KRW,7740.0,7330.0,9960.0,0.38%,28.68%
285,MBL," 무비블록, 쎄타 네트워크와 협력하여 서비스에 프로토콜 도입",2020.09.10,KRW,1.76,1.75,1.84,0.38%,4.55%
286,OBSR, 옵저버 토큰 (OBSR) 재락업 설정 공지,2020.09.10,조회 불가,조회 불가,조회 불가,조회 불가,0.003791938,조회 불가
287,ONIT," 온버프, 일정 별 언락 물량 공시",2020.09.09,BTC,7.313e-05,5.911e-05,7.525e-05,-2.07%,2.9%
288,TON," 토카막 네트워크, 스테이킹 보상 시스템 공시",2020.09.09,KRW,5770.0,5630.0,7960.0,-2.07%,37.95%
289,MLK," 밀크, 페이코인(Paycoin)과 전략적 업무 제휴 협약 체결 공시",2020.09.02,KRW,250.0,242.0,250.0,1.7%,0.0%
290,PCI," 페이코인, 포인트 통합 플랫폼 밀크(Milk)와 업무 협약(MOU) 체결",2020.09.02,조회 불가,조회 불가,조회 불가,조회 불가,0.0170305677,조회 불가
291,OBSR," 옵저버, 부경대학교 웨더스테이션 공급계약 체결",2020.09.02,조회 불가,조회 불가,조회 불가,조회 불가,0.0170305677,조회 불가
292,CHZ," 칠리즈, 트라브존스포르 구단과 파트너쉽 발표",2020.09.02,KRW,17.4,17.1,19.1,1.7%,9.77%
293,CHZ, 칠리즈 코인 소각 안내,2020.09.02,KRW,17.4,17.1,19.1,1.7%,9.77%
294,UPP," 웁살라시큐리티, 과기정통부 주최 AI 데이터 가공 지원사업 선정",2020.09.02,KRW,24.5,24.0,25.5,1.7%,4.08%
295,OGN, 오리진 프로토콜 디샵(Dshop) 서비스 기능 업그레이드,2020.09.01,BTC,3.641e-05,3.387e-05,3.749e-05,0.5%,2.97%
296,META, 메타디움 DID 기반 무인 편의점 출입 서비스 출시,2020.09.01,조회 불가,조회 불가,조회 불가,조회 불가,0.0049740326,조회 불가
297,TSHP," 12Ships는 TSHP 월간 바이백&소각 완료, 파일코인(Filecoin)을 시범 채굴할 자체 노드를 구성합니다.",2020.08.31,KRW,5.59,5.56,5.75,1.49%,2.86%
298,CTSI, 카르테시 x 믹스마블 파트너쉽 체결,2020.08.28,BTC,7.36e-06,6.86e-06,7.32e-06,-1.18%,-0.54%
299,QKC," 쿼크체인, 멀티네이티브 토큰 DEX 'QSwap' 및 모바일 채굴 게임 'Element Miner' 출시",2020.08.28,KRW,9.35,8.8,9.5,-1.18%,1.6%
300,ICX," 아이콘루프, 신한은행과 금융권 DID 실명인증 서비스 국내 최초 사용화",2020.08.26,KRW,725.0,656.0,760.0,-2.88%,4.83%
301,CHZ," 칠리즈($CHZ), 코인베이스 커스터디 론칭",2020.08.26,KRW,20.4,18.0,20.5,-2.88%,0.49%
302,GOM2, GOM2 8월 바이백 및 소각 공개,2020.08.25,BTC,2.99e-06,2.61e-06,2.99e-06,0.54%,0.0%
303,TON, 스테이킹 서비스 출시 및 첫 스테이킹 파트너 공개,2020.08.25,조회 불가,조회 불가,조회 불가,조회 불가,0.0053615418,조회 불가
304,GOM2, 고머니2 곰투앱 (GOM2) 에서 De-Fi메뉴 추가,2020.08.21,BTC,2.39e-06,2.21e-06,2.41e-06,0.64%,0.84%
305,CRE," 캐리 프로토콜, 팀, 어드바이저, 재단 물량 분배 주기 변경",2020.08.20,KRW,2.95,2.73,3.04,-0.87%,3.05%
306,UPP," 웁살라시큐리티, 디파이 업체 DUCATO와 디지털 자산 AML 구축 및 서비스 보안강화 위한 파트너쉽 체결",2020.08.20,KRW,25.3,23.6,25.3,-0.87%,0.0%
307,DKA," 디카르고, 국내 최대 암호화폐 플랫폼 코박과 디파이(De-Fi) 프로그램 신규 론칭",2020.08.20,KRW,76.5,74.0,89.0,-0.87%,16.34%
308,ICX," 아이콘 네트워크 개발사 아이콘루프, 제주특별자치도와 블록체인 DID 신원인증 관련 업무 협약",2020.08.20,KRW,580.0,528.0,580.0,-0.87%,0.0%
309,MBL," 무비블록, 코로나 숏폼 다큐멘터리 투자 제작",2020.08.20,KRW,2.51,2.41,2.53,-0.87%,0.8%
310,DKA," 디카르고, 프라이빗 투자자들의 스테이킹 프로그램 참여",2020.08.19,KRW,84.3,71.1,86.9,-1.44%,3.08%
311,QKC," 쿼크체인, 멀티네이티브 토큰 경매 통한 사용자 네이티브 토큰 발행 시스템 출시",2020.08.19,KRW,9.78,9.5,10.4,-1.44%,6.34%
312,CHZ," 칠리즈($CHZ), 알라메다 리서치와 전략적 파트너쉽 체결",2020.08.18,KRW,23.0,21.6,24.2,2.27%,5.22%
313,PCI," 페이코인, 크립토 파이낸스 플랫폼 벨릭(VELIC)과 업무 협약 체결",2020.08.18,조회 불가,조회 불가,조회 불가,조회 불가,0.0226798186,조회 불가
314,STPT," STP 네트워크, 트라발라닷컴의 결제 토큰으로 추가",2020.08.18,KRW,34.7,33.1,36.9,2.27%,6.34%
315,ICX," 아이콘 네트워크, 더 나은 디앱을 사용 경험을 위하여 매직과 파트너쉽 및 연동 완료",2020.08.18,KRW,627.0,575.0,631.0,2.27%,0.64%
316,ORBS," 오브스(Orbs), DeFi를 위한 ORBS GRANT PROGRAM 공개",2020.08.18,KRW,21.4,21.0,21.7,2.27%,1.4%
317,ARDR, v2.3.2 출시로 주요 마일스톤 달성 및 신규 차일드 체인 출시 위한 하드포크 일정 공시,2020.08.18,KRW,79.3,78.7,84.3,2.27%,6.31%
318,STPT," STP 네트워크, DVP와 보안 강화를 위한 파트너쉽 체결",2020.08.14,KRW,28.6,27.6,29.9,0.74%,4.55%
319,CHZ," 칠리즈($CHZ), 스포츠 팬 글로벌 리워드를 위한 비자(VISA) 직불카드 'I AM MORE THAN A FAN' 론칭",2020.08.14,KRW,19.0,18.8,23.5,0.74%,23.68%
320,MLK, 밀크 사전 투자물량 일별 배포량 반감(halving) 공지,2020.08.12,KRW,256.0,247.0,266.0,-2.65%,3.91%
321,MBL, 토큰 (MBL) 유통량 및 분배 일정 안내,2020.08.11,KRW,2.54,2.49,2.64,1.23%,3.94%
322,IOST," 아이오에스티(IOST), 디파이(DeFi) 육성 위해 12억원 규모 펀드 런칭",2020.08.10,KRW,7.22,6.98,7.3,-0.48%,1.11%
323,OBSR, 위키트리(WikiTree) 미세먼지 및 기상데이터 공급 계약 체결,2020.08.10,조회 불가,조회 불가,조회 불가,조회 불가,-0.0048246562,조회 불가
324,HBAR, 헤데라 네트워크 서비스 공식적으로 오픈소스화,2020.08.07,KRW,51.5,50.1,52.8,0.3%,2.52%
325,BORA," BORA(보라), 델리오와 디파이(De-Fi) 서비스 위한 전략적 파트너쉽 체결",2020.08.06,KRW,33.5,33.5,110.0,3.93%,228.36%
326,OGN, 오리진 프로토콜 신제품 디샵(Dshop) 셀프스토어 구축 기능 출시,2020.08.06,BTC,2.8e-05,1.781e-05,3.929e-05,3.93%,40.32%
327,PXL," 픽션네트워크, 신임 대표이사 취임 공시",2020.08.04,KRW,14.8,14.6,15.0,1.86%,1.35%
328,CHZ," 칠리즈, 에스토니아 운영 라이센스 확보",2020.08.03,KRW,15.9,13.2,16.1,-6.41%,1.26%
329,BORA," BORA(보라), 게임 개발사 '픽톨로지'와 블록체인 게임 공동사업 계약 체결",2020.08.03,조회 불가,조회 불가,조회 불가,조회 불가,-0.0640712541,조회 불가
330,MBL, 토큰(MBL) 프라이빗 물량 지급 조기 완료 안내,2020.08.03,KRW,2.93,2.44,2.99,-6.41%,2.05%
331,CHZ, 칠리즈 코인 소각 안내,2020.07.31,KRW,14.4,14.2,19.0,-0.2%,31.94%
332,BORA," 보라(BORA), 글로벌 게임 개발사 '갈라랩'과 공동사업 계약 체결",2020.07.30,조회 불가,조회 불가,조회 불가,조회 불가,0.0275602881,조회 불가
333,HBAR, 헤데라 프리뷰넷 공개 소식,2020.07.30,KRW,50.6,49.2,53.4,2.76%,5.53%
334,META, 메타디움 DID 기술이 비대면 인증 솔루션 개발에 활용,2020.07.29,조회 불가,조회 불가,조회 불가,조회 불가,-0.0111489625,조회 불가
335,OGN, 오리진 프로토콜 자사 플랫폼 디샵(Dshop) 신규 파트너쉽 5개 채결,2020.07.29,BTC,2.769e-05,2.826e-05,2.945e-05,-1.11%,6.36%
336,OGN, 오리진 토큰(OGN) 코인베이스 커스터디(Coinbase Custody) 파트너쉽,2020.07.29,BTC,2.769e-05,2.826e-05,2.945e-05,-1.11%,6.36%
337,AHT, 아하토큰 소각 예정 물량 최종 소각 완료 안내,2020.07.28,KRW,2.63,2.63,10.3,10.25%,291.63%
338,UPP," 웁살라시큐리티, 델리오와 디지털 자산 AML 도입 및 서비스 보안강화를 위한 업무협약 체결",2020.07.28,KRW,24.1,22.2,24.1,10.25%,0.0%
339,ORBS," 오브스(Orbs), 새로운 POS 리워드 정책 공시",2020.07.27,KRW,21.1,20.1,21.6,2.07%,2.37%
340,HBAR, eftpos dCommerce 소액 결제 솔루션을 위해 헤데라 헤시그래프 협업,2020.07.23,KRW,49.1,48.6,51.7,1.31%,5.3%
341,PCI," 페이코인, 크립토 파이낸스 전문기업 델리오(Delio)와 업무 협약(MOU) 체결",2020.07.22,조회 불가,조회 불가,조회 불가,조회 불가,0.0157990868,조회 불가
342,UPP," 웁살라시큐리티, 서울신문과 온라인 공익플랫폼 ""코인셜록"" 공동 발족",2020.07.21,KRW,22.8,22.6,24.1,0.06%,5.7%
343,MED," 메디블록, 신한생명과 실손 보험 간편 청구 서비스 연동 완료",2020.07.17,KRW,5.22,4.9,5.26,-0.37%,0.77%
344,AHT, 아하토큰 3차 소각 안내,2020.07.17,조회 불가,조회 불가,조회 불가,조회 불가,-0.0037357631,조회 불가
345,MBL," 무비블록, 모모랜드 콘서트 메이킹 필름 제작",2020.07.16,KRW,2.46,2.39,2.62,-0.32%,6.5%
346,QKC," 쿼크체인, 아마존 웹서비스(AWS) 기반 BaaS 플랫폼 출시",2020.07.16,KRW,8.28,8.12,8.56,-0.32%,3.38%
347,RINGX, RINGX 재단 토큰 소각 안내,2020.07.14,BTC,2.001e-05,1.616e-05,2.555e-05,-0.33%,27.69%
348,WAXP," 왁스, 디지털 트레이딩 카드 'GPK Goes Exotic' 출시",2020.07.14,KRW,65.0,64.2,70.2,-0.33%,8.0%
349,MOC," 모스랜드, 2020 2Q 모스코인 바이백 결과 안내",2020.07.13,KRW,22.5,22.0,22.6,0.72%,0.44%
350,PCI," 페이코인, 매드포갈릭 운영사 MFG KOREA와 서비스 제휴 및 사업 협력 MOU 체결",2020.07.10,조회 불가,조회 불가,조회 불가,조회 불가,-0.0158915425,조회 불가
