,코인 명,공시 명,날짜
279,HUNT, 헌트토큰 소각 및 베스팅 안내,2020.09.11
280,GOM2," 애니멀고, 코스닥 상장사 옵트론텍과 전략적 파트너쉽 체결",2020.09.11
281,ITAM," 아이텀게임즈 ‘체인링크(Chainlink)’, 에이브(Aave) 프로토콜과 전략적 업무 협약 체결 및 업무 제휴 공시",2020.09.11
282,PLA," 플레이댑, RPG ‘신과함께’ 구글 플레이 스토어에 출시",2020.09.10
283,ICX," 아이콘루프-사람인, 국내 최초로 채용 서비스 전반에 블록체인 기술 적용",2020.09.10
284,TON," 토카막 네트워크, 주요 투자자 스테이킹 참여 공시",2020.09.10
285,MBL," 무비블록, 쎄타 네트워크와 협력하여 서비스에 프로토콜 도입",2020.09.10
286,OBSR, 옵저버 토큰 (OBSR) 재락업 설정 공지,2020.09.10
287,ONIT," 온버프, 일정 별 언락 물량 공시",2020.09.09
288,TON," 토카막 네트워크, 스테이킹 보상 시스템 공시",2020.09.09
289,MLK," 밀크, 페이코인(Paycoin)과 전략적 업무 제휴 협약 체결 공시",2020.09.02
290,PCI," 페이코인, 포인트 통합 플랫폼 밀크(Milk)와 업무 협약(MOU) 체결",2020.09.02
291,OBSR," 옵저버, 부경대학교 웨더스테이션 공급계약 체결",2020.09.02
292,CHZ," 칠리즈, 트라브존스포르 구단과 파트너쉽 발표",2020.09.02
293,CHZ, 칠리즈 코인 소각 안내,2020.09.02
294,UPP," 웁살라시큐리티, 과기정통부 주최 AI 데이터 가공 지원사업 선정",2020.09.02
295,OGN, 오리진 프로토콜 디샵(Dshop) 서비스 기능 업그레이드,2020.09.01
296,META, 메타디움 DID 기반 무인 편의점 출입 서비스 출시,2020.09.01
297,TSHP," 12Ships는 TSHP 월간 바이백&소각 완료, 파일코인(Filecoin)을 시범 채굴할 자체 노드를 구성합니다.",2020.08.31
298,CTSI, 카르테시 x 믹스마블 파트너쉽 체결,2020.08.28
299,QKC," 쿼크체인, 멀티네이티브 토큰 DEX 'QSwap' 및 모바일 채굴 게임 'Element Miner' 출시",2020.08.28
300,ICX," 아이콘루프, 신한은행과 금융권 DID 실명인증 서비스 국내 최초 사용화",2020.08.26
301,CHZ," 칠리즈($CHZ), 코인베이스 커스터디 론칭",2020.08.26
302,GOM2, GOM2 8월 바이백 및 소각 공개,2020.08.25
303,TON, 스테이킹 서비스 출시 및 첫 스테이킹 파트너 공개,2020.08.25
304,GOM2, 고머니2 곰투앱 (GOM2) 에서 De-Fi메뉴 추가,2020.08.21
305,CRE," 캐리 프로토콜, 팀, 어드바이저, 재단 물량 분배 주기 변경",2020.08.20
306,UPP," 웁살라시큐리티, 디파이 업체 DUCATO와 디지털 자산 AML 구축 및 서비스 보안강화 위한 파트너쉽 체결",2020.08.20
307,DKA," 디카르고, 국내 최대 암호화폐 플랫폼 코박과 디파이(De-Fi) 프로그램 신규 론칭",2020.08.20
308,ICX," 아이콘 네트워크 개발사 아이콘루프, 제주특별자치도와 블록체인 DID 신원인증 관련 업무 협약",2020.08.20
309,MBL," 무비블록, 코로나 숏폼 다큐멘터리 투자 제작",2020.08.20
310,DKA," 디카르고, 프라이빗 투자자들의 스테이킹 프로그램 참여",2020.08.19
311,QKC," 쿼크체인, 멀티네이티브 토큰 경매 통한 사용자 네이티브 토큰 발행 시스템 출시",2020.08.19
312,CHZ," 칠리즈($CHZ), 알라메다 리서치와 전략적 파트너쉽 체결",2020.08.18
313,PCI," 페이코인, 크립토 파이낸스 플랫폼 벨릭(VELIC)과 업무 협약 체결",2020.08.18
314,STPT," STP 네트워크, 트라발라닷컴의 결제 토큰으로 추가",2020.08.18
315,ICX," 아이콘 네트워크, 더 나은 디앱을 사용 경험을 위하여 매직과 파트너쉽 및 연동 완료",2020.08.18
316,ORBS," 오브스(Orbs), DeFi를 위한 ORBS GRANT PROGRAM 공개",2020.08.18
317,ARDR, v2.3.2 출시로 주요 마일스톤 달성 및 신규 차일드 체인 출시 위한 하드포크 일정 공시,2020.08.18
318,STPT," STP 네트워크, DVP와 보안 강화를 위한 파트너쉽 체결",2020.08.14
319,CHZ," 칠리즈($CHZ), 스포츠 팬 글로벌 리워드를 위한 비자(VISA) 직불카드 'I AM MORE THAN A FAN' 론칭",2020.08.14
320,MLK, 밀크 사전 투자물량 일별 배포량 반감(halving) 공지,2020.08.12
321,MBL, 토큰 (MBL) 유통량 및 분배 일정 안내,2020.08.11
322,IOST," 아이오에스티(IOST), 디파이(DeFi) 육성 위해 12억원 규모 펀드 런칭",2020.08.10
323,OBSR, 위키트리(WikiTree) 미세먼지 및 기상데이터 공급 계약 체결,2020.08.10
324,HBAR, 헤데라 네트워크 서비스 공식적으로 오픈소스화,2020.08.07
325,BORA," BORA(보라), 델리오와 디파이(De-Fi) 서비스 위한 전략적 파트너쉽 체결",2020.08.06
326,OGN, 오리진 프로토콜 신제품 디샵(Dshop) 셀프스토어 구축 기능 출시,2020.08.06
327,PXL," 픽션네트워크, 신임 대표이사 취임 공시",2020.08.04
328,CHZ," 칠리즈, 에스토니아 운영 라이센스 확보",2020.08.03
329,BORA," BORA(보라), 게임 개발사 '픽톨로지'와 블록체인 게임 공동사업 계약 체결",2020.08.03
330,MBL, 토큰(MBL) 프라이빗 물량 지급 조기 완료 안내,2020.08.03
331,CHZ, 칠리즈 코인 소각 안내,2020.07.31
332,BORA," 보라(BORA), 글로벌 게임 개발사 '갈라랩'과 공동사업 계약 체결",2020.07.30
333,HBAR, 헤데라 프리뷰넷 공개 소식,2020.07.30
334,META, 메타디움 DID 기술이 비대면 인증 솔루션 개발에 활용,2020.07.29
335,OGN, 오리진 프로토콜 자사 플랫폼 디샵(Dshop) 신규 파트너쉽 5개 채결,2020.07.29
336,OGN, 오리진 토큰(OGN) 코인베이스 커스터디(Coinbase Custody) 파트너쉽,2020.07.29
337,AHT, 아하토큰 소각 예정 물량 최종 소각 완료 안내,2020.07.28
338,UPP," 웁살라시큐리티, 델리오와 디지털 자산 AML 도입 및 서비스 보안강화를 위한 업무협약 체결",2020.07.28
339,ORBS," 오브스(Orbs), 새로운 POS 리워드 정책 공시",2020.07.27
340,HBAR, eftpos dCommerce 소액 결제 솔루션을 위해 헤데라 헤시그래프 협업,2020.07.23
341,PCI," 페이코인, 크립토 파이낸스 전문기업 델리오(Delio)와 업무 협약(MOU) 체결",2020.07.22
342,UPP," 웁살라시큐리티, 서울신문과 온라인 공익플랫폼 ""코인셜록"" 공동 발족",2020.07.21
343,MED," 메디블록, 신한생명과 실손 보험 간편 청구 서비스 연동 완료",2020.07.17
344,AHT, 아하토큰 3차 소각 안내,2020.07.17
345,MBL," 무비블록, 모모랜드 콘서트 메이킹 필름 제작",2020.07.16
346,QKC," 쿼크체인, 아마존 웹서비스(AWS) 기반 BaaS 플랫폼 출시",2020.07.16
347,RINGX, RINGX 재단 토큰 소각 안내,2020.07.14
348,WAXP," 왁스, 디지털 트레이딩 카드 'GPK Goes Exotic' 출시",2020.07.14
349,MOC," 모스랜드, 2020 2Q 모스코인 바이백 결과 안내",2020.07.13
350,PCI," 페이코인, 매드포갈릭 운영사 MFG KOREA와 서비스 제휴 및 사업 협력 MOU 체결",2020.07.10
351,QKC, 쿼크체인 플랫폼 오픈소스에서 1백만 이상 TPS 달성,2020.07.10
352,MLK, 스테이킹형 리워드 프로그램인 '밀크팩' 도입 공시,2020.07.08
353,QKC," 쿼크체인, 중국 정부 산하 자원관리 플랫폼 개발 프로젝트 수주",2020.07.07
354,ARDR," BBB Wise Giving Alliance, 기부 플랫폼 GiveSafely.io의 기반 기술로 Ardor 선정 및 출시",2020.07.06
355,NPXS, Pundi X의 블록체인 기반 POS 기기에서 PayPal 사용 지원,2020.07.06
356,HBAR, 헤데라 거버닝 카운슬 업데이트 - 새로운 맴버,2020.07.03
357,PXL,"  픽션네트워크, 영어 및 중국어 지원 시작하며 본격 글로벌 서비스 돌입",2020.07.02
358,TTC," 업비트 세이프 TTC 지원 및 DXM, TTC 에코시스템 파트너 합류 공시",2020.07.01
359,MBL," 무비블록, 자회사 통한 할리우드 팀과의 자체 영화 제작으로 사업 영역 확대",2020.07.01
360,IOST," BSN, IOST '샨이우(Shanyiou) 플랫폼' 공식 앱으로 선정",2020.07.01
361,UPP," 웁살라시큐리티, 삼성전자 블록체인서비스와 고객지원업무제휴 계약 체결",2020.07.01
362,TSHP," 12ships, 밴코어스(Vancores)와 함께 채굴 분야의 개발 전략 업그레이드",2020.06.30
363,CRE," 캐리 프로토콜, 파트너사 회원 대상 오프라인 데이터 수집 활동 전개",2020.06.29
364,WAXP, 카운슬 새 맴버 발표,2020.06.25
365,META, 메타디움 마이키핀 DID 적용한 비대면 AI 교육 학습관리 개발사업 시행,2020.06.23
366,CHZ," 칠리즈, FC 바르셀로나 팬 토큰($BAR) 출시",2020.06.22
367,IOST," 아이오에스티(IOST), 중국 국가기록원과 전략적 제휴",2020.06.22
368,TT," 썬더코어, 타이페이시 정부 정보국 TT체인 노드 검수 성공",2020.06.20
369,HBAR, 헤데라 해시그래프 월드 와이드 웹 컨소시움 (W3C) 합류,2020.06.18
370,DKA," 디카르고, 캐롯손해보험과 파트너쉽 발표",2020.06.17
371,STPT," STP 네트워크, DeFi 이니셔티브 출범 (총 5천만 STPT 규모)",2020.06.17
372,AHT," 아하토큰, 2차 소각 안내",2020.06.16
373,HBAR, 헤데라 거버닝 카운슬 새 맴버 발표,2020.06.14
374,CHZ," 칠리즈, Chiliz.net에 유벤투스, 갈라타사라이, 파리 생제르맹 팬 토큰 상장",2020.06.12
375,AHT, 아하토큰 1차 소각 안내,2020.06.11
376,WAXP, WAX 자문위원회 발표,2020.06.09
377,META," [META] 부산시, 메타디움 DID 블록체인 활용 공공 서비스 개시",2020.06.09
378,OBSR," 옵저버 제 1 저자, 서울대 외 학회 공동 참여 논문 게재 확정",2020.06.05
379,COSM," 코스모체인, 2020년 6월 주요 공시",2020.06.04
380,BORA," BORA(보라), 아스텔리아 글로벌 서비스 이관 통합 사업 확장",2020.06.04
381,TT," 썬더코어, 타이페이시 정부 인터넷 투표 시스템 i-Voting 기술 통합 완료",2020.06.04
382,THETA," 구글 클라우드, 쎄타 네트워크 메인넷 2.0 출시 파트너 및 기업 검증자 노드로 합류",2020.05.27
383,MED," 메디블록, 정보보안 국제표준 'ISO 27001' 인증 취득",2020.05.26
384,CRE," 캐리프로토콜, 투자자 대상 물량 언락 종료 공시",2020.05.25
385,MBL," 무비블록, 배급사 호우주의보와 파트너쉽 체결",2020.05.22
386,SOLVE," 솔브케어, 원격의료 거래소(GTHE) 플랫폼 출시 발표",2020.05.22
387,UPP," 웁살라시큐리티, NSHC 기술제휴 및 사업협력 MOU/NDA 체결",2020.05.21
388,TT," 썬더코어, TT 메인넷 PaLa R2 업그레이드",2020.05.22
389,TTC," TTC 재단, '워크박스(WorkBox)' 프로젝트 런칭 및 탈중앙화 금융 강화",2020.05.19
390,MOC," 모스랜드, 인도네시아 종합 쇼핑몰 '퍼시픽 플레이스'와 제휴",2020.05.19
391,MED," 메디블록, KT - 게이츠재단 감염병 대응 연구 컨소시엄 참여",2020.05.18
392,MOC," 모스랜드, 모바일 게임 '로열 마블 매니저' 소프트 런칭",2020.05.15
393,BORA," BORA(보라), 라온엔터테인먼트의 자회사 제나애드와 게임 및 IP 활용 위한 파트너쉽 체결",2020.05.14
394,MBL," MBL Media, 호주 원작 '놀라부' 애니메이션, 영화 개발 및 제작 글로벌 독점권 계약 체결",2020.05.14
395,MLK," 밀크, 개발사(Team) 및 기업 Partners 물량 관련 공시",2020.05.13
396,META," 메타디움, 중남미 2천만 사용자 대상 DID 기반 디지털 월렛 '카이보 키핀' 출시",2020.05.13
397,ANKR," 앵커(ANKR), '번영을 위한 셀로 연맹(Celo Alliance)' 가입",2020.05.08
398,CHZ," 칠리즈, UFC와 글로벌 파트너쉽 발표",2020.05.07
399,MED," 메디블록 컨소시엄, 민간주도 블록체인 사업대상자 선정",2020.05.07
400,HBAR," 헤데라 해시그래프, 거버닝 카운슬 새 맴버 : 유니버시티 칼리지 런던 (University College London)",2020.05.07
401,MOC," 모스랜드, VR 포커게임 Gangsta Underground 출시",2020.05.06
402,EMC2, 아인스타이늄 보건복지부 지정 국민안심병원 부평세림병원과 COVID-19 대응 MOU 체결,2020.05.06
403,UPP," 웁살라시큐리티, 프로스트 앤 설리번 '2020 아시아 태평양 블록체인-암호화폐 혁신상' 아태지역 최초 수상",2020.05.06
404,ORBS," 오브스(Orbs), 경영진 인사 변동 공시",2020.05.06
405,MLK, 밀크 - 신세계면세점 정식 서비스 론칭,2020.05.06
406,QKC," 쿼크체인, 첫 블록 채굴 보상감소 일정 공지",2020.05.04
407,MOC," 모스랜드, 2020 1Q 모스코인 바이백 결과 안내",2020.05.04
408,HBAR," 헤데라 해시그래프, The coupon bureau 유즈케이스 및 킹덤 트러스트 HBAR 지원 관련",2020.05.04
409,MED," 메디블록, 부산-울산-경남 지역 최대 의료재단 은성의료재단과 MOU 체결",2020.04.27
410,CHZ," 칠리즈, 토큰의 유동성 향상을 위해 소시오스닷컴 앱 내 출금 기능 개시",2020.04.24
411,EMC2," 아인스타이늄, 재단 핵심 인력 변동 공시",2020.04.23
412,PXL," PXL(픽셀), 120만 유저들이 사용하는 e스포츠 플랫폼으로 사용처 확대",2020.04.24
413,UPP," 웁살라 시큐리티, 법무법인(유한) 바른과 국내 최초 '디지털자산 사기 피해 회복 토털 법률서비스' 런칭",2020.04.23
414,TSHP, 트웰브쉽스 재단 Vancores 운영사 선임안에 대한 투표 결과,2020.04.23
415,MED," 메디블록, 병원용 EHR 솔루션 출시 및 3주년 사업 성과 공유",2020.04.23
416,MLK, 밀크-야놀자 시스템 개발 완료 공시,2020.04.23
417,QKC," 쿼크체인, 공식 월렛 큐포켓(QPocket), 메이커다오와 협력",2020.04.21
418,BORA," BORA(보라), 바른손이엔에이의 자회사 스튜디오8과 '아스텔리아' 시리즈 서비스 계약 체결",2020.04.21
419,AERGO," AERGO, TROY network와 전략적 파트너쉽 체결",2020.04.21
420,TSHP," 12SHIPS, 트웰브쉽스 재단 Vancores 운영사 선임안 투표진행",2020.04.13
421,BORA," BORA(보라), 글로벌 게임 시장에 모바일 게임 세븐가디언즈 with BORA 론칭",2020.04.10
422,ARDR," Jelurida, ARDOR 차일드 체인 확장을 위해 Labrys와 파트너쉽 체결",2020.04.08
423,ORBS," 오브스, 새로운 POS 참여방법 공시",2020.04.08
424,STORM," 스톰 X, 리워드 프로그램 출시",2020.04.07
425,META," 메타디움, THEPOL 베타 출시 및 매일경제신문사와 미디어 파트너쉽 체결",2020.04.07
426,UPP," 웁살라시큐리티, 싱가포르통화청(MAS) 산하기관에 디지털 자산자금세탁방지 솔루션 제공",2020.04.06
427,MED," 메디블록, 세브란스병원과 메디패스 서비스 연동 완료",2020.04.03
428,PXL," 픽션네트워크, LINKA PAY 도입해 PXL 사용의 대중화 계기 마련",2020.04.02
429,STPT," STP 네트워크, 삼성 블록체인 '파트너 디앱' 합류",2020.04.02
430,MBL," 무비블록, 무비블록 픽(MovieBloc PICK) 신규 서비스 오픈 및 영화공모 안내",2020.03.30
431,NPXS," 펀디엑스, 싱가포르 통화 당국(MAS) 펀디엑스에 라이센스 임시면제 부여",2020.03.26
432,ANKR," 앵커, 보닉(BONIC) 기부 컴퓨팅으로 코로나(Covid-19) 연구 지원",2020.03.26
433,TTC," TTC재단, 신규 디앱 개발사 '플루토체인'에 250만 TTC 투자",2020.03.26
434,PXL," 픽션네트워크, 유통량 현황 및 향후 계획 공시",2020.03.25
435,CRE," 캐리, 중국 진출 발판을 위한 CRE 바나나톡 리스팅",2020.03.24
436,META," 메타디움, 블록체인 금융 서비스 전문 기업 Celo가 주도하는 'Celo 얼라이언스' 참여",2020.03.19
437,COSM," 코스모체인, COSM 소각 관련 공시",2020.03.18
438,HBAR," 헤데라 해시그래프, 거버닝 카운슬 새 맴버 발표",2020.03.19
439,MED," 메디블록, 블록체인기반 간편보험청구 서비스 '메디패스' iOS 버전 출시",2020.03.19
440,MBL," 무비블록, MBL media 설립 및 안홍주 대표이사 선임",2020.03.18
441,TTC," TTC, 블록체인 첫 번째 반감기 및 티그리스 청산 기능 정상화 공시",2020.03.17
442,STORM," 스톰 X, 암호화폐 캐시백 서비스 스톰샵(StormShop) 한국 진출",2020.03.12
443,BORA," BORA(보라), 글로벌 게임 서비스 환경 구축 위한 BORA 아일랜드 2.0 출시",2020.03.12
444,ORBS," 오브스(ORBS), 삼성 블록체인 파트너쉽 공시",2020.03.12
445,MLK," 밀크(MiL.K), 신규 파트너로 신세계면세점 합류",2020.03.12
446,META," 메타디움, 메타(META) 코인 활용 투표/조사 모바일앱, ""THEPOL (서명과 여론)"" 출시 예정",2020.03.11
447,QKC," 쿼크체인, Nuts Finance와 기술 및 사업 제휴",2020.03.10
448,QKC," 쿼크체인, 멀티네이티브 토큰 출시",2020.03.09
449,NXT," NXT, 메인넷 클라이언트 v1.12.1 출시 및 하드포크 일정 안내",2020.03.04
450,META," 메타디움 엔터프라이즈 플랫폼, 과학기술정보통신부 TTA 성능시험 통해 기술경쟁력 입증",2020.03.04
451,STPT," STP네트워크, 코박 내 사용으로 수요처 확보, 유틸리티 확대 예정",2020.02.28
452,TSHP," 12SHIPS, 2020년 2월 TSHP 소각",2020.02.28
453,BORA," BORA(보라), 댑레이더와 전략제휴 계약 체결 및 프로토콜 프로젝트 합류",2020.02.26
454,MOC," 모스랜드, 루니버스 메인넷으로 토큰 스왑 계획 공시",2020.02.20
455,MBL," 무비블록, 알리바바 X 유쿠 플랫폼 '따위하오'에 무비블록 공식 채널 오픈",2020.02.20
456,CPT, 콘텐츠 프로토콜 사업 종료 및 잔여 자산 배분 관련,2020.02.20
457,STORM," 스톰토큰, 2020 로드맵, 신규 제품 및 파트너쉽 관련",2020.02.18
458,CPT," 콘텐츠 프로토콜, 사업 종료 및 잔여 자산 배분 공지",2020.02.19
459,ENJ," 엔진플랫폼, 이더리움 메인넷 론칭 완료",2020.02.19
460,MOC," 모스랜드, 서비스 수익연동 MOC 바이백 프로그램 계획 공시",2020.02.19
461,MBL," 무비블록, 국내 최대 커뮤니티 코박 플랫폼 양수 및 MovieBloc 노드 스테이킹 보상",2020.02.18
462,MOC," 모스랜드, 신규 서비스 출시 및 파트너쉽 관련 공시",2020.02.17
463,META," 메타디움 DID, 2천만 사용자 보유한 중남미 지역 게임 퍼블리싱 플랫폼에서 3월부터 이용 가능",2020.02.14
464,UPP," 웁살라시큐리티, 암호화폐 추적 솔루션 BTC 추적 기능 추가",2020.02.14
465,STPT," STP네트워크, 슈퍼노드 스테이킹 출시 통한 2400만 STPT락업",2020.02.14
466,HBAR, 헤데라 해시그래프 거버닝 카운슬 새 멤버 발표,2020.02.12
467,MBL," 무비블록, 토큰스왑 지원 및 파트너쉽 관련 공시",2020.02.10
468,BORA," BORA(보라) 개발사 웨이투빗, 티웨이브와 전략적 제휴 체결",2020.02.07
469,STPT," STP 네트워크, 최대 연이율 30% 스테이킹 프로그램 출시",2020.02.07
470,MOC," 모스랜드, 더 헌터스 'iF 디자인 어워드 수상",2020.02.05
471,ANKR," ANKR, 파트너쉽 및 기타 공시",2020.02.05
472,TSHP," 12SHIPS, 2020년 첫 TSHP 소각",2020.01.31
473,UPP," 센티넬프로토콜, 삼성 블록체인 월렛의 DApp에 리스팅",2020.01.28
474,TTC," 티티씨, TTC 재단 2020상반기 전략 관련 공시",2020.01.15
475,TTC," 티티씨, 티그리스 프로토콜 내 담보대출 서비스(CDS) 출시",2019.11.15
476,MED," 메디블록, 우리아이들병원과 MOU 체결",2019.11.15
477,MBL," 무비블록, 한겨레 교육 파트너쉽 체결",2019.11.13
478,SOLVE," 솔브케어, 최고 의료 책임자 임명",2019.11.13
479,TSHP," 12SHIPS, 첫 소각 개시",2019.11.04
480,COSM," 코스모체인, 바이백 진행 및 토큰 모델 구현을 통한 유통량 감소",2019.11.05
481,JNT," 지브렐, 블록체인 기반 프라이빗 파이낸싱 플랫폼으로 아부다비 Innovation Challenge 우승",2019.11.13
482,SOLVE," 솔브케어, 재무/행정 본부장 임명, 사무실 개설 및 본사 이전 관련 공시",2019.11.01
483,UPP," 센티넬프로토콜, Uppsala Security로 리브랜딩",2019.10.28
484,COSM," 코스모체인, 율리시스 캐피탈 추가 투자",2019.10.25
485,ARDR," Ardor, Full Node 운영이 가능한 안드로이드 앱 출시",2019.10.22
486,THETA," 세타, DLive와 파트너쉽 체결",2019.10.10
487,COSM," 코스모체인, 2019년 3분기 바이백 완료 및 2500만 COSM 소각 완료",2019.10.11
488,UPP," 센티넬프로토콜, 크립토 분석 위험도 평가 솔루션 'CARA' 런칭",2019.10.11
489,ORBS," 오브스, 블록체인교육연합(BEA) 파트너쉽 공시",2019.10.11
490,JNT," 지브렐, 블록체인 기반 프라이빗 파이낸싱 플랫폼 출시",2019.10.11
491,MED," 메디블록, 심볼 및 로고 변경",2019.10.08
492,MBL," 무비블록, 신규 온톨로지(Ontology) 플랫폼 노드로 선정",2019.11.13
493,MBL," 무비블록, DMZ 국제다큐영화제 파트너쉽 체결 공시",2019.10.17
494,QKC," 쿼크체인, TokenTuber와 전략적 파트너쉽",2019.10.02
495,TTC," 티티씨, TTC내 탈중앙화금융(DeFi) 티그리스 프로토콜 오픈베타 시작",2019.10.02
496,LUNA," 테라, 업무협약 관련 공시",2019.10.01
497,COSM," 코스모체인, 구체적인 토큰 이코노미 설계 방향을 담은 블루페이퍼 발표",2019.09.30
498,MEDX," 메디블록, 하얼빈시 제2병원 기술 수출",2019.09.30
499,TSHP," 12SHIPS, 첫 마일스톤 달성, 한산도풀 오픈",2019.09.24
500,BORA," 보라플랫폼, 토큰 발행량 일부 소각 계획 공시",2019.09.18
501,BORA," 보라플랫폼, 이더리움에서 클레이튼 메인넷으로 이전 확정 및 토큰 스왑 계획 공시",2019.09.18
502,STPT," STPT네트워크, 바이백 토큰 전량 소각 발표",2019.09.18
503,COSM," 코스모체인, 클레이튼폰 내 기본 탑재",2019.09.06
504,STPT," STP네트워크, 온톨로지와 PoB 페이먼트 프로그램 발표",2019.08.30
505,THETA," 세타, 세타 네트워크의 검증 노드를 운영 할 최초의 기업 파트너사 발표",2019.08.28
506,MBL," 무비블록, 무료 베타 서비스 오픈 공시",2019.08.27
507,LUNA," 테라, 홍콩 해시키 캐피탈로 부터 투자 유치",2019.08.23
508,POWR," 파워렛저, 서호주 P2P 에너지 거래 프로젝트 2단계 돌입",2019.08.21
509,QKC," 쿼크체인, 한국모바일게임협회 및 한국 블록체인 콘텐츠 협회와 파트너쉽 체결",2019.08.20
510,MEDX," 메디블록, 토큰스왑 일정 공개",2019.08.20
511,ELF," 엘프, 일본 기프트 카드 교환 플랫폼 Ameten(아마튼)과 전략적 파트너쉽 체결",2019.08.20
512,LUNA," 테라, 국내 대표 음원 스트리밍 서비스 벅스와 파트너쉽 체결",2019.08.14
513,MBL," 무비블록, (사)한국독립PD협회와 파트너쉽 체결",2019.08.14
514,STPT," STP네트워크, 프라이빗 세일 Fast Unlock 옵션 및 추가 소각 발표",2019.08.08
515,TTC," 티티씨, TTC 홀더 대상 DeFi 프로젝트 토큰 세일, 락드랍(Lockdrop) 지원 및 TTC 에코펀드 출자",2019.08.08
516,QKC," 쿼크체인, 대량 바이백 프로그램 및 팀/재단 물량 락업 연장",2019.08.07
517,SOLVE," 솔브케어, 주요인사 관련 공시",2019.08.07
518,AERGO," 아르고, 블로코 시드(SEED) 그룹과 중동, 북아프리카 지역 블록체인 인프라 구축 관련 파트너쉽 체결",2019.08.06
519,LUNA," 테라, 국내 1위 B2B 패션 플랫폼 신상마켓과 파트너쉽 체결",2019.08.05
520,UPP," 센티넬프로토콜, 옥타솔루션 고객사와 자금세탁방지 구축 공급 계약 체결",2019.08.05
521,UPP," 센티넬프로토콜, Hexlant. (헥슬란트)와 전략적 파트너쉽 체결",2019.08.05
522,ORBS," 오브스, 파트너쉽 및 메인넷 업데이트 관련",2019.08.02
523,QKC," 쿼크체인, 토큰스왑 시작 (7/31)",2019.07.31
524,MEDX," 메디블록, 메인넷 패너시어(Panacea) 런칭",2019.07.31
525,STPT," STP네트워크, 체인링크와 오라클 연동 발표",2019.07.30
526,CPT," 콘텐츠프로토콜, MBC와 파트너쉽 체결",2019.07.29
527,QKC," 쿼크체인, 체인링크와 파트너쉽",2019.07.26
528,MBL," 무비블록, 투자 기관 락업 및 베스팅 기간 연장 공시",2019.07.26
529,UPP," 센티넬프로토콜, Kyber Network (카이버네트워크)와 파트너쉽 체결",2019.07.25
530,META," 메타디움, 부산시의 블록체인 기반 공공안전 영상제보 서비스에 메타디움 DID 기술 적용",2019.07.25
531,TTC," 티티씨, BTC.com과 파트너쉽 체결 및 BTC.com 대표자 참여",2019.07.24
532,RFR," 리퍼리움, 배틀그라운드(PUBG)와 파트너쉽 발표",2019.07.24
533,STPT," STP네트워크, FBG Capital로 부터 추가 투자 유치 공시",2019.07.23
534,KMD," 코모도, 플랫폼 리브랜딩 및 주요제품 공개 (Antara, AtomicDEX) 공시",2019.07.19
535,EMC2," 아인스타이늄, 13.6 네트워크 업데이트 공시",2019.07.18
536,TTC," 티티씨, 7월 16일 공시 3건",2019.07.16
537,CRE," 캐리프로토콜, 캐리 토큰(CRE) 언락 물량 조정 공시",2019.07.12
538,COSM," 코스모체인, 투자유치 및 바이백 진행 관련 공시",2019.07.12
539,IGNIS," 이그니스, GPS 토큰 에어드랍을 위한 스냅샷 블록 높이 및 Coal 토큰 에어드랍 관련 공시",2019.07.10
540,SOLVE," 솔브케어, 우버 헬스와 파트너쉽 체결",2019.07.10
541,MOC," 모스랜드, 삼성 블록체인 월렛 공식 지원",2019.07.09
542,CRE," 캐리프로토콜, 캐리 토큰(CRE) ‘바이백(buy-back)’ 진행",2019.07.08
543,COSM," 코스모체인, 2019년 7월 주요 공시",2019.07.08
544,TT," 썬더코어, 팀 토큰 락업과 토큰 분배 일정의 변경 공시",2019.07.02
545,STPT," STP네트워크, MTO모델공개 및 무비블록 MTO 공시",2019.07.02
546,QKC," 쿼크체인, 메인넷 트랜잭션 기능 공식 오픈 (6/30)",2019.07.01
547,QKC," 쿼크체인, 쿼크체인의 ERC20토큰 40%(40억개) 소멸 안내 (7/1)",2019.07.01
548,POWR," 파워렛저, 미국에서 REC(신재생에너지공인인증서) 거래 플랫폼을 선보인다.",2019.07.01
549,QKC," 쿼크체인, 락업 QKC 토큰 중 2019년 분량 토큰 전량 일시 배포",2019.07.01
550,QKC," 쿼크체인, 메인넷 v1.0 ""Singularity"" 출시 완료 (4/30 UTC +0800)",2019.07.01
551,STPT," STP네트워크, Block72 참여 PoB 스테이킹 모델 발표 및 바이백 공시",2019.06.28
552,ORBS," 오브스, GLF의 공식 블록체인 인프라 파트너 선정",2019.06.25
553,COSM," 코스모체인, 2019년 6월 주요 공시",2019.06.24
554,CRE," 캐리프로토콜, '뱅크샐러드'와 ECA 파트너쉽 체결",2019.06.21
555,POWR," 파워렛저, 오스트리아에서 P2P 에너지 거래 관련 파트너쉽 체결",2019.06.19
556,MEDX," 메디블록, 세브란스병원과 블록체인 기반 플랫폼 구축",2019.06.18
557,CRE," 캐리프로토콜, 파트너쉽 체결 관련 공시",2019.06.17
558,META," 메타디움, 업무제휴 관련 공시 2건",2019.06.17
559,SOLVE," 솔브케어, 베링거인겔하임과 파트너쉽 체결",2019.06.07
560,IGNIS," 이그니스, Triffic 앱 GPS 토큰 에어드랍 예정",2019.06.07
561,MEDX," 메디블록, 에어드랍 미수령 수량 전량 소각 완료",2019.06.04
562,MEDX," 메디블록, 에어드랍 미수령 수량 전량 소각 예정",2019.06.04
563,UPP," 센티넬프로토콜, 제휴관련 공시 2건",2019.05.31
